adapter,strategy,seed,task,accuracy
random_seed13,random,13,boolean_expressions,0.625
random_seed13,random,13,causal_judgement,0.375
random_seed13,random,13,date_understanding,0.25
random_seed13,random,13,disambiguation_qa,0.0
random_seed13,random,13,dyck_languages,0.375
random_seed13,random,13,formal_fallacies,0.625
random_seed13,random,13,geometric_shapes,0.125
random_seed13,random,13,hyperbaton,0.25
random_seed13,random,13,logical_deduction_five_objects,0.125
random_seed13,random,13,logical_deduction_seven_objects,0.125
random_seed13,random,13,logical_deduction_three_objects,0.5
random_seed13,random,13,movie_recommendation,0.5
random_seed13,random,13,multistep_arithmetic_two,0.0
random_seed13,random,13,navigate,0.75
random_seed13,random,13,object_counting,0.25
random_seed13,random,13,penguins_in_a_table,0.375
random_seed13,random,13,reasoning_about_colored_objects,0.25
random_seed13,random,13,ruin_names,0.25
random_seed13,random,13,salient_translation_error_detection,0.0
random_seed13,random,13,snarks,0.25
random_seed13,random,13,sports_understanding,0.25
random_seed13,random,13,temporal_sequences,0.125
random_seed13,random,13,tracking_shuffled_objects_five_objects,0.125
random_seed13,random,13,tracking_shuffled_objects_seven_objects,0.0
random_seed13,random,13,tracking_shuffled_objects_three_objects,0.25
random_seed13,random,13,web_of_lies,0.125
random_seed13,random,13,word_sorting,0.0
quality_seed13,quality,13,boolean_expressions,0.75
quality_seed13,quality,13,causal_judgement,0.5
quality_seed13,quality,13,date_understanding,0.625
quality_seed13,quality,13,disambiguation_qa,0.25
quality_seed13,quality,13,dyck_languages,0.375
quality_seed13,quality,13,formal_fallacies,0.75
quality_seed13,quality,13,geometric_shapes,0.125
quality_seed13,quality,13,hyperbaton,0.5
quality_seed13,quality,13,logical_deduction_five_objects,0.25
quality_seed13,quality,13,logical_deduction_seven_objects,0.5
quality_seed13,quality,13,logical_deduction_three_objects,0.125
quality_seed13,quality,13,movie_recommendation,0.25
quality_seed13,quality,13,multistep_arithmetic_two,0.125
quality_seed13,quality,13,navigate,0.125
quality_seed13,quality,13,object_counting,0.25
quality_seed13,quality,13,penguins_in_a_table,0.375
quality_seed13,quality,13,reasoning_about_colored_objects,0.125
quality_seed13,quality,13,ruin_names,0.375
quality_seed13,quality,13,salient_translation_error_detection,0.25
quality_seed13,quality,13,snarks,0.0
quality_seed13,quality,13,sports_understanding,0.125
quality_seed13,quality,13,temporal_sequences,0.0
quality_seed13,quality,13,tracking_shuffled_objects_five_objects,0.125
quality_seed13,quality,13,tracking_shuffled_objects_seven_objects,0.0
quality_seed13,quality,13,tracking_shuffled_objects_three_objects,0.375
quality_seed13,quality,13,web_of_lies,0.25
